id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24327916,"Comfy, Cozy Mountain Getaway",59215839,Julie,,28806,35.57828,-82.6055,Private room,80,2,32,2019-10-26,1.62,3,12
24329922,Charming Apartment 1 Minute to Everything!,124851805,Danya,,28806,35.58818,-82.57576,Entire home/apt,89,2,81,2019-11-26,4.10,2,336
24347730,Downtown Asheville Condo,183715171,David,,28801,35.59747,-82.5558,Entire home/apt,250,2,70,2019-11-24,3.63,1,70
24373135,Classic Comfort,75238397,Becky,,28806,35.51359,-82.59674,Entire home/apt,250,2,15,2019-09-22,0.83,2,246
24375145,"Bent Creek Getaway, Bike",183956684,Inga,,28806,35.51476,-82.61112,Entire home/apt,100,2,52,2019-11-17,2.72,1,352
24387676,Brookstone Lodge Asheville Biltmore Village Area,184069772,Darrin,,28803,35.55432,-82.51977,Hotel room,99,1,25,2019-10-18,1.38,2,356
24396068,Country Cottage 12 min to Downtown -Cozy & Private,23042006,Kathy,,28805,35.60111,-82.48158,Entire home/apt,85,2,129,2019-11-25,6.53,1,318
24413175,Bungalow in the heart of West Asheville,28225015,Courtney,,28806,35.58253,-82.57333,Private room,46,1,83,2019-11-24,8.53,1,258
24421260,Be our Guest at May Manor!,40292535,Allison,,28806,35.57323,-82.59279,Entire home/apt,99,2,101,2019-11-24,5.87,1,158
24425345,"Mountain Views, Minutes to Work",66626246,Kevin,,28803,35.56854,-82.52401,Entire home/apt,62,30,4,2019-01-12,0.23,2,362
24428641,Enchanting Cottage near Downtown Asheville,5305183,Leesa And Todd,,28805,35.61145,-82.52704,Entire home/apt,480,2,39,2019-11-17,2.02,1,192
24445744,"Majestic Home by the River Arts, West AVL",49781652,Cory,,28806,35.58384,-82.57024,Private room,75,1,71,2019-11-12,3.63,1,0
24492331,Historic Asheville Home - Montford (Walk Downtown),76545940,Hilary,,28801,35.60076,-82.56253,Entire home/apt,250,30,0,,,2,362
24493492,Edwin Place,178613839,Liz,,28801,35.61106,-82.55041,Private room,75,1,77,2019-11-02,4.14,1,79
24512884,Walk Everywhere Downtown! 1BR Corner Condo,149601167,TurnKey Vacation Rentals,,28801,35.59893,-82.55538,Entire home/apt,95,2,12,2019-10-29,0.64,26,342
24520534,Downtown Asheville Traveler's Haven-Best Value-#12,7625694,John,,28801,35.5918,-82.54945,Private room,49,2,73,2019-11-12,3.86,7,336
24540122,Walk to hip RAD & Haywood+Private+View+2 Baths!,185370249,Brooke & Keith,,28806,35.5859,-82.5755,Entire home/apt,129,2,177,2019-11-25,9.48,2,155
24556468,Mountain Paradise,185520826,James,,28704,35.45115,-82.54077,Entire home/apt,98,2,8,2018-11-13,0.48,1,72
24557386,Paw Perfect in West Asheville,185529892,Trish,,28806,35.57252,-82.62584,Entire home/apt,75,3,81,2019-11-27,4.36,1,3
24594949,Stylish Studio in the Trees - Montford,12920851,Terry,,28801,35.60732,-82.57414,Entire home/apt,85,2,127,2019-11-22,6.66,1,255
24605088,Sunflower Hotel Vibe minutes to Downtown+Biltmore,3028199,Florencia,,28803,35.55962,-82.50559,Private room,70,1,278,2019-11-23,14.38,3,157
24656374,South Asheville Quiet Cozy Suite w/MemoryFoam Beds,382196,Kassandra,,28704,35.4777,-82.51567,Entire home/apt,145,2,29,2019-11-10,1.67,1,41
24678233,Biltmore and Brewery Base-Camp,66626246,Kevin,,28803,35.57031,-82.52451,Entire home/apt,45,30,13,2019-06-20,0.71,2,79
24697002,The Baying Hound Campground {2 of 4},151279507,Bobby And Amanda,,28806,35.61337,-82.60525,Entire home/apt,17,1,36,2019-10-26,1.91,10,180
24711554,Peaceful Suite Near Highland Brew/Biltmore/Hiking,120404183,Kathy,,28805,35.58449,-82.50117,Entire home/apt,64,1,145,2019-11-26,7.91,1,123
24752561,Liberty House,187138225,Annika,,28801,35.60305,-82.55301,Entire home/apt,175,2,10,2019-11-27,0.81,2,171
